t,rotX
5.66057,-5.07499
5.67057,-5.98657
5.68057,-6.90234
5.69057,-7.823
5.70057,-8.74925
5.71057,-9.68171
5.72057,-10.6208
5.73057,-11.5668
5.74058,-12.5201
5.75058,-13.481
5.76058,-14.4501
5.77058,-15.4281
5.78058,-16.4156
5.79058,-17.4136
5.80058,-18.4229
5.81058,-19.4441
5.82058,-20.478
5.83058,-21.5252
5.84059,-22.5862
5.85059,-23.6618
5.86059,-24.7525
5.87059,-25.8591
5.88059,-26.982
5.89059,-28.122
5.90059,-29.2797
5.91059,-30.4559
5.92059,-31.6517
5.93059,-32.8683
5.9406,-34.1069
5.9506,-35.3687
5.9606,-36.655
5.9706,-37.9668
5.9806,-39.3053
5.9906,-40.6715
6.0006,-42.0665
6.0106,-43.4915
6.0206,-44.9479
6.0306,-46.4371
6.04061,-47.9605
6.05061,-49.5196
6.06061,-51.1156
6.07061,-52.749
6.08061,-54.4204
6.09061,-56.13
6.10061,-57.878
6.11061,-59.6643
6.12061,-61.489
6.13061,-63.352
6.14062,-65.2521
6.15062,-67.1874
6.16062,-69.1536
6.17062,-71.143
6.18062,-73.143
6.19062,-75.133
6.20062,-77.0785
6.21062,-78.9196
6.22062,-80.5505
6.23062,-81.7902
6.24063,-82.3812
6.25063,-82.1111
6.26063,-80.9984
6.27063,-79.2514
6.28063,-77.0813
6.29063,-74.6282
6.30063,-71.9741
6.31063,-69.1661
6.32063,-66.2322
6.33063,-63.1894
6.34064,-60.0493
6.35064,-56.8197
6.36064,-53.5067
6.37064,-50.1162
6.38064,-46.6533
6.39064,-43.123
6.40064,-39.5301
6.41064,-35.8793
6.42064,-32.1756
6.43064,-28.4241
6.44065,-24.6304
6.45065,-20.8001
6.46065,-16.9394
6.47065,-13.055
6.48065,-9.15357
6.49065,-5.2425
6.50065,-1.32931
6.51065,2.57829
6.52065,6.47271
6.53065,10.3464
6.54066,14.192
6.55066,18.0018
6.56066,21.7686
6.57066,25.486
6.58066,29.1476
6.59066,32.7468
6.60066,36.2771
6.61066,39.7318
6.62066,43.1029
6.63066,46.3825
6.64067,49.562
6.65067,52.6327
6.66067,55.5854
6.67067,58.4106
6.68067,61.098
6.69067,63.6354
6.70067,66.0089
6.71067,68.2017
6.72067,70.1947
6.73067,71.9657
6.74068,73.4912
6.75068,74.7483
6.76068,75.719
6.77068,76.3956
6.78068,76.7863
6.79068,76.9169
6.80068,76.8287
6.81068,76.5711
6.82068,76.1951
6.83068,75.748
6.84069,75.27
6.85069,74.7945
6.86069,74.3477
6.87069,73.9497
6.88069,73.6158
6.89069,73.3575
6.90069,73.1833
6.91069,73.0994
6.92069,73.1104
6.93069,73.219
6.9407,73.4261
6.9507,73.7305
6.9607,74.128
6.9707,74.6102
6.9807,75.1646
6.9907,75.7732
7.0007,76.411
7.0107,77.0434
7.0207,77.6239
7.0307,78.0916
7.04071,78.3724
7.05071,78.3865
7.06071,78.0626
7.07071,77.355
7.08071,76.2523
7.09071,74.7726
7.10071,72.9497
7.11071,70.8217
7.12071,68.4239
7.13071,65.7857
7.14072,62.9315
7.15072,59.881
7.16072,56.6501
7.17072,53.2514
7.18072,49.6963
7.19072,45.995
7.20072,42.1577
7.21072,38.1954
7.22072,34.121
7.23072,29.948
7.24073,25.6906
7.25073,21.3632
7.26073,16.9803
7.27073,12.5565
7.28073,8.10661
7.29073,3.64596
7.30073,-0.809716
7.31073,-5.24471
7.32073,-9.64416
7.33073,-13.9936
7.34074,-18.2787
7.35074,-22.4858
7.36074,-26.6014
7.37074,-30.6123
7.38074,-34.5064
7.39074,-38.2718
7.40074,-41.8979
7.41074,-45.3744
7.42074,-48.691
7.43074,-51.8378
7.44075,-54.8056
7.45075,-57.5859
7.46075,-60.1715
7.47075,-62.5568
7.48075,-64.7378
7.49075,-66.7113
7.50075,-68.4752
7.51075,-70.0285
7.52075,-71.3712
7.53075,-72.5045
7.54076,-73.4303
7.55076,-74.1507
7.56076,-74.6679
7.57076,-74.9828
7.58076,-75.095
7.59076,-75.0024
7.60076,-74.7014
7.61076,-74.1869
7.62076,-73.453
7.63076,-72.4937
7.64077,-71.3038
7.65077,-69.8792
7.66077,-68.2168
7.67077,-66.3142
7.68077,-64.17
7.69077,-61.7843
7.70077,-59.1584
7.71077,-56.2953
7.72077,-53.2008
7.73077,-49.8822
7.74078,-46.3483
7.75078,-42.6092
7.76078,-38.6763
7.77078,-34.5617
7.78078,-30.2787
7.79078,-25.8425
7.80078,-21.2698
7.81078,-16.5792
7.82078,-11.7923
7.83078,-6.93209
7.84079,-2.02229
7.85079,2.9126
7.86079,7.84787
