t,rotY
5.21052,178.304
5.22052,177.792
5.23052,177.277
5.24053,176.758
5.25053,176.234
5.26053,175.704
5.27053,175.168
5.28053,174.625
5.29053,174.074
5.30053,173.513
5.31053,172.944
5.32053,172.363
5.33053,171.77
5.34054,171.165
5.35054,170.546
5.36054,169.911
5.37054,169.259
5.38054,168.588
5.39054,167.895
5.40054,167.177
5.41054,166.433
5.42054,165.658
5.43054,164.849
5.44055,164.002
5.45055,163.111
5.46055,162.172
5.47055,161.178
5.48055,160.122
5.49055,158.995
5.50055,157.788
5.51055,156.489
5.52055,155.084
5.53055,153.559
5.54056,151.893
5.55056,150.067
5.56056,148.053
5.57056,145.82
5.58056,143.332
5.59056,140.544
5.60056,137.406
5.61056,133.86
5.62056,129.843
5.63056,125.294
5.64057,120.154
5.65057,114.387
5.66057,107.994
5.67057,101.037
5.68057,93.6532
5.69057,86.0495
5.70057,78.4738
5.71057,71.1684
5.72057,64.3257
5.73057,58.0656
5.74058,52.4365
5.75058,47.4317
5.76058,43.01
5.77058,39.1134
5.78058,35.6786
5.79058,32.6445
5.80058,29.9553
5.81058,27.5622
5.82058,25.4228
5.83058,23.501
5.84059,21.7665
5.85059,20.1935
5.86059,18.7604
5.87059,17.4489
5.88059,16.2436
5.89059,15.1311
5.90059,14.1004
5.91059,13.1418
5.92059,12.247
5.93059,11.409
5.9406,10.6217
5.9506,9.87958
5.9606,9.17794
5.9706,8.51227
5.9806,7.8785
5.9906,7.27293
6.0006,6.6922
6.0106,6.13322
6.0206,5.59308
6.0306,5.06906
6.04061,4.5586
6.05061,4.05924
6.06061,3.56861
6.07061,3.08436
6.08061,2.60419
6.09061,2.12577
6.10061,1.64677
6.11061,1.16484
6.12061,0.677727
6.13061,0.183123
6.14062,-0.321426
6.15062,-0.838546
6.16062,-1.37099
6.17062,-1.92147
6.18062,-2.49301
6.19062,-3.08904
6.20062,-3.71349
6.21062,-4.37079
6.22062,-5.06568
6.23062,-5.80354
6.24063,-6.59072
6.25063,-7.43468
6.26063,-8.34451
6.27063,-9.33178
6.28063,-10.4105
6.29063,-11.5975
6.30063,-12.913
6.31063,-14.3816
6.32063,-16.0328
6.33063,-17.9025
6.34064,-20.0343
6.35064,-22.4806
6.36064,-25.3045
6.37064,-28.5807
6.38064,-32.3943
6.39064,-36.8358
6.40064,-41.9888
6.41064,-47.9076
6.42064,-54.5803
6.43064,-61.8902
6.44065,-69.5933
6.45065,-77.3395
6.46065,-84.7452
6.47065,-91.4817
6.48065,-97.334
6.49065,-102.206
6.50065,-106.09
6.51065,-109.025
6.52065,-111.075
6.53065,-112.293
